nuclides      air         ground      inhaled    thyroid    lamta(1/h)    Vg(m/s)
Eu-146      1.23E-13    2.42E-15    1.05E-09    1.76E-10    6.26E-03    1.50E-03
Eu-147      2.32E-14    4.83E-16    9.55E-10    1.28E-10    1.20E-03    1.50E-03
Eu-148      1.06E-13    2.12E-15    3.87E-09    1.07E-09    5.30E-04    1.50E-03
Eu-149      2.25E-15    6.41E-17    5.10E-10    3.23E-11    3.10E-04    1.50E-03
Eu-150a     2.21E-15    4.65E-17    1.82E-10    4.67E-13    5.49E-02    1.50E-03
Eu-150b     7.17E-14    1.46E-15    7.25E-08    1.63E-08    2.31E-06    1.50E-03
Eu-152      5.65E-14    1.10E-15    5.97E-08    8.25E-09    5.94E-06    1.50E-03
Eu-152m     1.42E-14    2.86E-16    2.21E-10    2.60E-12    7.44E-02    1.50E-03
Eu-154      6.14E-14    1.19E-15    7.73E-08    7.14E-09    8.99E-06    1.50E-03
Eu-155      2.49E-15    5.90E-17    1.12E-08    2.40E-10    1.60E-05    1.50E-03
Eu-156      6.75E-14    1.23E-15    3.82E-09    2.16E-10    1.90E-03    1.50E-03
Eu-157      1.17E-14    2.61E-16    3.01E-10    3.04E-12    4.58E-02    1.50E-03
Eu-158      5.27E-14    1.01E-15    2.54E-11    8.40E-13    9.06E-01    1.50E-03
F-18        4.90E-14    1.01E-15    2.11E-11    2.32E-12    3.79E-01    1.50E-03
Fe-52       1.55E-13    3.03E-15    6.07E-10    3.93E-11    8.38E-02    1.50E-03
Fe-55       0.00E+00    0.00E+00    3.61E-10    1.85E-10    2.93E-05    1.50E-03
Fe-59       5.97E-14    1.12E-15    3.30E-09    1.17E-09    6.49E-04    1.50E-03
Fe-60       2.17E-16    4.43E-18    7.29E-08    5.27E-08    7.91E-10    1.50E-03
Fm-252      5.03E-18    7.56E-19    1.14E-07    5.67E-10    3.05E-02    1.50E-03
Fm-253      3.53E-15    7.70E-17    1.56E-07    1.05E-10    9.63E-03    1.50E-03
Fm-254      6.57E-18    8.28E-19    1.57E-08    2.38E-10    2.14E-01    1.50E-03
Fm-255      1.10E-16    8.22E-18    7.21E-08    5.48E-10    3.45E-02    1.50E-03
Fm-257      4.66E-15    1.03E-16    6.32E-06    1.22E-09    2.87E-04    1.50E-03
Fr-219      1.75E-16    3.62E-18    0.00E+00    0.00E+00    1.98E+00    1.50E-03
Fr-220      5.54E-16    1.19E-17    0.00E+00    0.00E+00    9.11E+01    1.50E-03
Fr-221      1.47E-15    3.01E-17    0.00E+00    0.00E+00    8.66E+00    1.50E-03
Fr-222      5.56E-16    1.24E-17    3.32E-09    3.29E-10    2.89E+00    1.50E-03
Fr-223      2.29E-15    5.65E-17    1.68E-09    1.44E-09    1.91E+00    1.50E-03
Ga-65       5.65E-14    1.16E-15    7.61E-12    4.66E-13    2.74E+00    1.50E-03
Ga-66       1.29E-13    2.22E-15    5.03E-10    2.78E-11    7.37E-02    1.50E-03
Ga-67       7.20E-15    1.49E-16    1.51E-10    9.43E-12    8.86E-03    1.50E-03
Ga-68       4.58E-14    9.41E-16    3.07E-11    1.88E-12    6.12E-01    1.50E-03
Ga-70       4.62E-16    9.82E-18    7.24E-12    1.14E-13    1.97E+00    1.50E-03
Ga-72       1.39E-13    2.50E-15    5.02E-10    3.99E-11    4.92E-02    1.50E-03
Ga-73       1.48E-14    3.05E-16    1.03E-10    3.16E-12    1.41E-01    1.50E-03
Gd-145      1.15E-13    2.08E-15    1.04E-11    1.05E-12    1.82E+00    1.50E-03
Gd-146      9.95E-15    2.46E-16    6.02E-09    1.13E-09    5.98E-04    1.50E-03
Gd-147      6.45E-14    1.30E-15    4.07E-10    4.59E-11    1.82E-02    1.50E-03
Gd-148      0.00E+00    0.00E+00    2.38E-05    0.00E+00    8.51E-07    1.50E-03
Gd-149      1.92E-14    4.12E-16    6.18E-10    5.28E-11    3.07E-03    1.50E-03
Gd-151      2.20E-15    6.38E-17    1.21E-09    3.77E-11    2.41E-04    1.50E-03
Gd-152      0.00E+00    0.00E+00    1.75E-05    0.00E+00    7.33E-19    1.50E-03
Gd-153      3.71E-15    1.06E-16    2.56E-09    1.04E-10    1.19E-04    1.50E-03
Gd-159      2.21E-15    5.02E-17    2.64E-10    6.46E-13    3.73E-02    1.50E-03
Ge-66       3.25E-14    6.70E-16    8.56E-11    1.37E-11    3.05E-01    1.50E-03
Ge-67       6.86E-14    1.38E-15    1.44E-11    7.63E-13    2.22E+00    1.50E-03
Ge-68       4.58E-14    9.41E-16    1.40E-08    6.92E-10    1.00E-04    1.50E-03
Ge-69       4.27E-14    8.44E-16    2.27E-10    4.82E-11    1.78E-02    1.50E-03
Ge-71       7.47E-20    2.18E-20    3.31E-11    1.02E-12    2.45E-03    1.50E-03
Ge-75       1.68E-15    3.44E-17    1.83E-11    6.03E-13    5.02E-01    1.50E-03
Ge-77       5.32E-14    1.05E-15    2.85E-10    3.18E-11    6.13E-02    1.50E-03
Ge-78       1.34E-14    2.71E-16    7.75E-11    5.85E-12    4.78E-01    1.50E-03
H-3         3.31E-19    0.00E+00    2.70E-11    1.73E-11    6.41E-06    1.50E-03
Hf-170      2.52E-14    5.37E-16    2.31E-10    6.51E-11    4.33E-02    1.50E-03
Hf-172      4.06E-15    1.13E-16    8.60E-08    1.44E-08    4.23E-05    1.50E-03
Hf-173      1.85E-14    3.96E-16    1.11E-10    1.97E-11    2.89E-02    1.50E-03
Hf-175      1.69E-14    3.63E-16    1.51E-09    5.06E-10    4.13E-04    1.50E-03
Hf-177m     1.06E-13    2.20E-15    2.67E-11    3.76E-12    8.09E-01    1.50E-03
